书名,价格,作者,出版社
从入门到项目实战（全程视频版） 入门/IT计算机书籍,￥89.82,无,无
四大名著四册套 思想 从入门到精通核心技术effective  第3三版技术教程自学案头参考书经典软件,￥369.41,无,机械工业出版社
思想第4版 thinking in 中文版第四版 程序设计书籍 ,￥82.65,无,机械工业出版社
Spring源码深度解析 第2版基于Spring核心实现企业应用Spring Boot 微服务实战 Spring开发入门 教材书籍,￥51.40,郝佳,人民邮电出版社
Effective 中文版 原书第3版新版本 从入门到精通 思想 jav,￥89.25,(美)约书亚·布洛克JoshuaBloch,机械工业出版社
官方正版 思想 第4版 Bruce Eckel 著 陈昊鹏译 计算机科学丛书 黑皮书,￥77.76,(美) Bruce Eckel,机械工业出版社
零基础学（全彩版）手把手教学，赠源码、习题、技术答疑,￥54.72,无,无
【新华书店正版】从入门到精通语言程序设计电脑程序员计算机软件入门零基础自学软件开发教,￥62.22,不详,广东人民出版社
实战宝典：从入门到精通+微服务架构实战+Spring实战开发+项目开发（京东套装共4册）,￥289.20,明日科技,清华大学出版社
思想(第4版)【正版图书，售后无忧】,￥70.20,(美) Bruce Eckel,机械工业出版社
详解（微课版）,￥39.80,无,无
从零开始学（视频教学版）,￥61.00,无,清华大学出版社
官网  语言程序设计 基础篇 原书第 12版 Y Daniel Liang 计算机科学丛书,￥104.25,无,无
思维,￥47.20,美 艾伦 唐尼 Allen B,人民邮电出版社
技术,￥46.48,谭浩强 主编,人民邮电出版社
那些事儿,￥39.00,陈跃峰,清华大学出版社
技术基础,￥31.50,林桂花 主编,经济管理出版社
思想,￥21.00,(美) 埃克尔 著,机械工业出版社
现货正版 思想第4版第中文版thinking in 教材|34838,￥54.00,无,无
兵书,￥66.00,桂颖,电子工业出版社
思维,￥66.00,美 艾伦 唐尼 Allen B Down,人民邮电出版社
思想(第4版),￥80.50,(美) Bruce Eckel,机械工业出版社
思想(第2版),￥99.00,(美) 埃克尔 著,机械工业出版社
规范(第三版),￥299.00,（美）高斯林（Gosling,中国电力出版社
官网 核心技术卷1基础知识原书第11版 教程 思想 语言设计 入门,￥107.28,无,无
思想(第4版),￥34.10,(美) Bruce Eckel,机械工业出版社
那些事儿,￥29.25,陈跃峰,清华大学出版社
轻松学(缺盘),￥40.50,赵振方,化学工业出版社
超级魔卡 全彩版,￥26.52,无,电子工业出版社
方~~9787121394768,￥48.06,知秋,电子工业出版社
核心技术卷1基础知识  卷II 高级特性（原书第11版） 中文版（卷1+卷2）,￥198.00,无,无
 案例精解,￥27.00,孙印杰,电子工业出版社
技术【正版图书，售后无忧】,￥31.39,孙一林,机械工业出版社
入门官方教程【正版开发票】,￥56.25,(美)HerbertSchil,清华大学出版社
典型实例解析【正版开发票】,￥41.00,《电脑编程技巧与维护》杂志社,水利水电出版社
的逻辑 马俊昌,￥94.00,马俊昌,机械工业出版社
Effective 中文版 原书第3版新版本 从入门到精通 思想 jav,￥89.25,无,无
指南：基础知识、类库应用及案例设计/清华开发者书库,￥74.44,无,清华大学出版社
思想 (美)埃克尔 (Bruce Eckel) 著;陈吴鹏 译 著 语言与程序设计,￥86.40,无,机械工业出版社
思想(英文版·第4版)(美)埃克尔,￥89.10,(美)埃克尔,机械工业出版社
 思想Thinking in   机械工业出版社,￥15.50,不详,机械工业出版社
的逻辑 马俊昌 9787111587729,￥79.00,马俊昌,机工出版
思想第4版 thinking in 中文版第四版 程序设计书籍 ,￥82.65,无,无
原理：面向工程和科学人员,￥88.00,(美)布朗森 著,清华大学出版社
技术手册原书第7版七版 语言教程书籍,￥98.60,(英) 本杰明·J.埃文斯,机械工业
技术基础【正版图书，售后无忧】,￥38.58,刘勇军,电子工业出版社
轻松学从入门到实战(案例视频彩色版)/,￥89.80,无,中国水利水电出版社
思维,￥42.48,(美)艾伦·唐尼AllenB.Downey,人民邮电出版社
现货 并发实战|199038,￥48.30,无,无
从头学XML和一例通【正版开发票】,￥27.00,(美)蔡斯 著,机械工业出版社
思想(第2版)【正版图书 放心购买】,￥38.00,无,机械工业出版社
思想(第2版)【正版图书，售后无忧】,￥25.44,(美) 埃克尔,机械工业出版社
入门经典(第4版),￥26.22,（美）卡登赫斯第,人民邮电出版社
规范(第三版)【正版图书，售后无忧】,￥266.00,（美）高斯林（Gosling,中国电力出版社
从入门到精通（第5版） 全新改版 视频教程教学 思想,￥41.50,无,无
轻松学(缺盘)【正版图书，售后无忧】,￥42.51,赵振方,化学工业出版社
SAP应用服务器的 凯斯勒 等 著 东方出版社,￥21.00,凯斯勒 等 著,东方出版社
技术 谭浩强 主编 人民邮电出版社,￥66.10,谭浩强 主编,人民邮电出版社
从基础到应用【正版图书，售后无忧】,￥33.70,孙宇霞,清华大学出版社
思想  埃克尔 著；侯捷 译 机械工业出版社,￥20.20,(美) 埃克尔 著；侯捷 译,机械工业出版社
四大名著:思想+核心技术2册+Effective|8071252,￥341.30,无,无
Cookbook 【正版】,￥104.00,希尔特（HerbertSchi,电子工业出版社
薛小小学 从入门到精通 趣学开发教程书籍 思想核心程序员入,￥105.60,无,无
"艺术 [美]Herbert Schildt 等著,邓劲生 译",￥40.50,(美)Herbert Schi,清华大学出版社
 思想--Thinking in   机械工业出版社,￥48.00,不详,机械工业出版社
【新华自营正版】思想 机工出版 9787111213826,￥86.60,(美) Bruce Eckel,机械工业出版社
多线程核心技术（第2版）高洪岩,￥74.00,无,无
